Y,X1,X2,X3
7104708,663,76,141
119735000,622,500,385
45024655,445,181,559
12289200,154,228,350
319307190,866,523,705
16287180,471,266,130
212002560,672,478,660
39706755,501,605,131
1830153,13,843,167
44885610,381,153,770
12110163,59,831,247
72740736,813,233,384
227918592,414,748,736
135422612,614,499,442
55708536,282,524,377
79143840,159,732,680
58528815,145,857,471
11296200,281,335,120
691152,77,528,17
76969776,713,346,312
475227018,707,963,698
194375106,227,942,909
162461719,601,511,529
308337540,885,644,541
14234940,27,606,870
47720400,897,76,700
60925221,687,123,721
18869040,876,30,718
175186584,621,358,788
39799976,188,302,701
487565035,865,941,599
9364348,721,191,68
343303424,956,992,362
28332130,755,647,58
122921310,970,797,159
21401240,122,716,245
579211776,858,768,879
50286600,307,819,200
30655240,148,269,770
256865840,407,686,920
42420224,538,128,616
191167080,268,885,806
98065968,314,924,338
11484000,100,319,360
40823580,710,74,777
13998306,337,42,989
8412160,530,248,64
220429440,852,672,385
8448384,168,112,449
36866445,105,649,541
378043874,962,703,559
608643855,849,895,801
53005524,858,158,391
252220242,813,857,362
181758330,421,585,738
164632896,816,731,276
25933366,233,551,202
257168520,810,782,406
3057300,516,79,75
103550304,794,152,858
79719528,204,721,542
115163300,529,622,350
6802944,688,103,96
17877640,991,410,44
35841160,148,397,610
11514360,363,610,52
214075224,376,729,781
1534302,369,21,198
204782760,846,260,931
18656792,77,248,977
2376360,920,3,861
128130756,933,139,988
58531410,279,777,270
46535220,983,60,789
141103196,646,403,542
63496704,201,617,512
27627975,425,699,93
33465696,484,344,201
159394090,566,373,755
53915695,107,563,895
22676500,341,500,133
74394936,693,216,497
196560,104,270,7
122495296,212,737,784
138148962,798,233,743
363058784,796,781,584
63988920,895,108,662
89598168,166,846,638
5023872,392,16,801
48616932,633,211,364
99120,59,56,30
604620800,800,784,964
7660350,45,290,587
322142208,512,678,928
35041328,892,854,46
187109910,722,443,585
197533476,346,591,966
48901675,905,535,101
174275010,273,738,865
470889216,679,903,768
77451360,777,560,178
280876050,722,855,455
70392244,482,274,533
6761664,86,96,819
239367393,999,337,711
46865568,906,848,61
8547840,318,192,140
39595752,504,313,251
5641440,73,322,240
16438464,126,151,864
913836,132,23,301
7994335,85,577,163
55506360,105,598,884
274533245,745,863,427
4213125,107,125,315
15060136,302,364,137
284499420,905,391,804
385599864,618,676,923
318049290,669,530,897
242753500,505,950,506
22809800,50,806,566
177244840,415,788,542
23441796,873,274,98
252931296,718,656,537
91324800,453,210,960
9598784,139,166,416
235711896,487,903,536
174623680,836,746,280
253018820,739,380,901
30475848,291,988,106
37778880,552,145,472
184205175,231,835,955
311456544,907,784,438
144272700,767,380,495
135725892,969,194,722
176559372,594,898,331
74260800,955,108,720
39122556,44,953,933
326622824,638,524,977
217116894,807,697,386
7422984,24,393,787
85011514,127,698,959
523562960,956,695,788
404191704,964,469,894
332196480,640,693,749
54408720,824,93,710
19143264,183,224,467
63073650,150,739,569
64695132,211,334,918
90900590,206,565,781
243432,3,392,207
6030765,305,507,39
285339264,798,592,604
272532780,867,845,372
123645760,170,764,952
1931616,353,304,18
184648560,813,334,680
203990238,313,729,894
493511488,916,604,892
431844974,743,911,638
241758000,675,814,440
17297280,110,576,273
205940760,373,642,860
30448640,626,320,152
7068600,165,476,90
137283240,482,705,404
32262384,344,174,539
2178248,41,458,116
651178575,747,985,885
21723840,57,480,794
147116130,435,986,343
296754330,515,701,822
16084152,282,97,588
510121600,928,575,956
197633940,998,287,690
82844104,266,686,454
11180751,61,571,321
169417300,475,722,494
227267820,482,845,558
37350544,142,392,671
108577535,911,197,605
61204480,512,556,215
243080046,699,479,726
99124480,728,736,185
92155525,343,977,275
2776950,110,99,255
49424168,152,617,527
31843224,938,46,738
9765888,544,51,352
60804216,978,628,99
30013900,50,809,742
74029600,185,488,820
51768096,292,996,178
305911950,499,670,915
180526996,962,202,929
78001200,922,150,564
22462440,340,91,726
36477448,889,892,46
423095400,780,882,615
398671920,948,489,860
23723118,477,54,921
73671780,917,260,309
230351912,293,808,973
4542233,461,167,59
22429386,798,81,347
381197824,752,584,868
16608005,535,37,839
315864738,534,687,861
281620080,639,787,560
113593575,697,205,795
293229622,334,931,943
70221856,508,467,296
235195872,762,808,382
269590167,979,279,987
219470680,374,610,962
24400304,272,823,109
163466424,639,456,561
256839264,561,912,502
231387000,500,663,698
31408634,502,89,703
80502240,679,120,988
73493280,368,315,634
206650155,717,977,295
34886826,689,261,194
257000418,654,423,929
32029200,420,620,123
6702480,535,18,696
30023648,437,904,76
120331848,408,637,463
23587056,703,233,144
75337614,402,297,631
230119824,913,356,708
137099991,191,931,771
1070496,531,72,28
189891452,788,607,397
21367368,216,391,253
72114185,689,173,605
39314880,528,85,876
148738668,706,219,962
113238972,801,396,357
375706480,596,860,733
12460516,139,146,614
88948080,680,507,258
356148780,590,654,923
102864300,365,915,308
72833772,242,487,618
9417672,69,968,141
437340672,642,887,768
118689120,354,880,381
504207,463,3,363
39213720,273,252,570
7328048,719,364,28
11138600,220,610,83
242694738,593,594,689
12200448,752,208,78
676843824,808,894,937
35907980,844,635,67
194216670,342,867,655
312624000,640,585,835
41617200,150,632,439
73986465,905,119,687
199575495,303,697,945
251769474,978,269,957
26887168,868,968,32
4342140,54,110,731
41608192,256,908,179
922922,14,461,143
12922416,36,676,531
175315140,390,973,462
154470240,360,522,822
227912400,898,450,564
108551904,466,633,368
28629988,619,373,124
208617500,455,700,655
565133499,799,927,763
91483092,397,444,519
130251300,878,258,575
406000,4,406,250
38658400,955,80,506
138862104,628,269,822
19261543,427,79,571
71725500,189,660,575
41805022,547,371,206
27244335,831,395,83
349717824,796,648,678
18711000,875,594,36
146300700,195,805,932
94092180,532,195,907
4441080,840,17,311
81655550,775,278,379
28749448,104,391,707
102128040,270,474,798
56874180,935,548,111
21567840,56,980,393
13718432,673,52,392
96926364,948,173,591
61283290,113,965,562
254298216,841,516,586
172469232,746,684,338
228498732,602,891,426
75490766,229,818,403
191110920,430,546,814
324127450,830,415,941
107690495,773,149,935
18995392,442,544,79
654522,94,211,33
49166040,238,313,660
48502167,471,329,313
4917504,674,32,228
378908948,542,739,946
7743890,14,979,565
116540380,515,556,407
166270608,868,626,306
84152064,584,474,304
147503952,764,692,279
9116800,320,518,55
10771740,630,206,83
7173660,541,204,65
33755760,542,692,90
1058255,271,71,55
45704120,847,190,284
160183044,269,714,834
116719225,245,755,631
1206864,16,493,153
36111570,510,451,157
16583292,423,324,121
245783642,377,818,797
590076,2,333,886
124781568,453,512,538
137655522,626,461,477
296189300,935,470,674
3527160,285,52,238
77296230,958,163,495
44795616,912,599,82
603655686,846,867,823
185195980,940,271,727
37149840,234,735,216
36825612,489,562,134
477550416,888,718,749
688128,16,448,96
80627355,521,855,181
40066488,876,99,462
92058406,347,389,682
54879600,232,415,570
51325650,621,150,551
6387174,801,443,18
82920960,720,976,118
98622040,638,262,590
162124875,825,495,397
84371100,691,555,220
33721200,986,95,360
26836992,168,768,208
20765940,158,390,337
68154090,894,965,79
26208600,75,836,418
286369734,966,521,569
229677448,644,946,377
149078072,302,863,572
67869100,221,925,332
94904784,262,648,559
4279890,358,15,797
25675440,868,510,58
16869671,373,637,71
71293656,852,301,278
13661200,56,595,410
28211700,618,50,913
25220670,465,577,94
344540,749,460,1
59868816,508,644,183
24337313,287,593,143
839944,28,283,106
108326428,743,164,889
154921195,389,715,557
37286676,387,372,259
160069728,876,728,251
25278768,349,503,144
576637776,984,858,683
9524700,557,150,114
231868800,498,600,776
30839204,74,997,418
264760720,595,959,464
45701334,191,633,378
176256234,441,814,491
227911024,583,848,461
222003936,297,752,994
132792660,804,273,605
761464,748,509,2
284266752,384,847,874
247624552,892,553,502
81637041,967,321,263
23249296,166,574,244
160954848,656,387,634
7681152,241,192,166
35421048,164,639,338
44076960,716,171,360
184676100,476,739,525
3486896,764,7,652
99958050,866,513,225
246848976,748,618,534
109193448,692,714,221
244536460,571,644,665
2110680,492,55,78
21402000,400,435,123
39039216,246,664,239
30729846,193,238,669
599024636,854,934,751
26165412,637,42,978
355272214,667,682,781
9471033,117,223,363
290589585,935,613,507
28029085,95,373,791
83145216,592,616,228
95883438,681,791,178
85558518,918,661,141
6661184,296,116,194
83746432,448,586,319
18793500,85,330,670
157999630,415,466,817
6486676,959,178,38
95046200,173,670,820
26432406,99,326,819
84982656,93,968,944
133023005,305,587,743
124208532,588,479,441
48353976,517,433,216
90104872,143,632,997
39312000,252,800,195
76653640,686,151,740
79185600,400,702,282
8652000,206,420,100
329756112,948,707,492
77074855,715,289,373
406331940,903,745,604
144925200,486,300,994
69910632,206,857,396
199916892,651,628,489
20984,61,1,344
130794100,437,730,410
41830668,66,726,873
46165680,261,264,670
120669760,223,608,890
745470,135,11,502
284195340,905,549,572
33704690,761,103,430
1511136,53,54,528
78065588,934,158,529
223569486,746,497,603
22549032,802,36,781
432019350,938,801,575
286238004,338,899,942
9774771,37,823,321
39394296,261,662,228
7847928,367,396,54
52197600,717,160,455
216317262,241,903,994
59346440,920,257,251
296451518,706,649,647
13640528,94,748,194
45588144,259,304,579
66615900,190,403,870
79934568,411,322,604
26623392,116,292,786
174610800,364,738,650
380075520,818,640,726
10225764,148,81,853
133889290,883,295,514
220322520,885,943,264
20334616,964,398,53
55029780,201,676,405
3613275,159,25,909
71927296,488,329,448
127534000,550,341,680
2063556,243,386,22
426112050,798,689,775
129217942,469,397,694
183663234,362,989,513
317582644,746,646,659
88328821,991,119,749
226406400,268,880,960
447207800,845,808,655
282900332,619,748,611
270160254,414,707,923
4680720,80,99,591
10438454,89,694,169
6217200,40,942,165
123177984,606,397,512
22399776,96,861,271
74928000,669,175,640
488505010,665,766,959
6236720,74,602,140
90533786,326,679,409
37607456,172,604,362
123583350,275,619,726
163673496,786,777,268
158468037,669,959,247
234415090,823,313,910
59644214,854,211,331
249952,856,73,4
14850320,173,148,580
103379760,458,380,594
9765620,19,620,829
26088384,98,944,282
29319510,82,591,605
514398807,949,789,687
130405464,252,777,666
275670582,599,627,734
16198704,162,116,862
282115050,917,525,586
92073105,387,765,311
5099892,557,42,218
82488348,549,228,659
75684,53,3,476
205402236,598,786,437
44366805,399,353,315
4437160,371,52,230
293135250,425,831,830
13781050,523,170,155
188335609,671,397,707
2949780,15,932,211
133845460,358,763,490
35827704,108,887,374
466480000,952,500,980
327900100,950,541,638
94156038,773,402,303
1914864,139,16,861
89485536,732,518,236
252280170,918,279,985
62631600,335,205,912
16252866,186,657,133
36062712,366,782,126
123443208,463,966,276
61113690,171,570,627
718741215,933,795,969
3080096,808,953,4
1355952,424,6,533
19147500,75,460,555
12253176,78,636,247
3522220,310,874,13
173009925,405,863,495
165555390,910,407,447
1173920,44,290,92
224416645,643,415,841
148483584,621,256,934
43426773,177,351,699
80493440,320,346,727
1418157,897,31,51
37598170,467,830,97
161280600,248,897,725
270060951,843,457,701
6554812,467,58,242
15203916,234,102,637
168451705,683,535,461
4272906,101,641,66
59371200,798,480,155
383350590,890,903,477
11412540,284,45,893
153828180,846,957,190
337431330,705,993,482
78007356,262,357,834
90724144,859,574,184
172169440,424,514,790
606104,317,8,239
208571077,649,419,767
434049318,909,881,542
64574672,656,173,569
18815328,21,976,918
139931348,482,758,383
8399328,84,862,116
35092148,214,182,901
1538160,435,52,68
83567148,237,686,514
62976160,272,685,338
275940,1,730,378
2252925,93,85,285
94157730,969,158,615
233005050,730,615,519
34084190,310,139,791
197665896,438,514,878
206935047,873,363,653
7358025,75,199,493
66383152,506,529,248
8109600,124,872,75
81275040,440,252,733
9035840,64,755,187
44583741,183,289,843
93562560,245,408,936
41480320,788,560,94
193483737,859,863,261
221178120,631,552,635
8349000,276,250,121
20953328,88,274,869
103194980,307,343,980
1765624,82,769,28
12672478,91,203,686
223713525,679,955,345
22979376,476,162,298
147126,31,791,6
388322000,880,929,475
62385960,232,273,985
405326272,628,754,856
24172400,485,178,280
298883035,857,935,373
530026640,715,866,856
103358640,935,282,392
50910930,189,410,657
58636128,976,589,102
6422832,13,846,584
11688404,163,182,394
13749780,753,22,830
714630,861,166,5
17763730,109,215,758
20724060,420,931,53
4493280,352,69,185
160187328,697,504,456
262336368,556,574,822
11367510,703,21,770
80907624,646,252,497
5171400,390,39,340
5516940,643,143,60
94192158,274,489,703
162873984,364,944,474
17435880,420,222,187
616346010,945,879,742
77848848,833,177,528
111736716,884,273,463
229542093,529,891,487
27089673,793,579,59
9790200,74,225,588
1189746,3,421,942
36537500,125,370,790
225398240,272,958,865
29770100,265,164,685
23526321,947,91,273
114448425,861,409,325
46113501,903,229,223
362200524,602,894,673
377226525,421,919,975
17966200,313,70,820
146695212,409,369,972
7937930,130,143,427
165142425,365,465,973
122037696,824,306,484
117862924,263,563,796
72726984,179,513,792
185141375,355,907,575
590121663,901,699,937
69793488,619,324,348
112326480,266,459,920
416855472,528,839,941
96463950,935,543,190
43266080,124,572,610
288694560,840,428,803
136666620,898,890,171
125121035,635,659,299
15945408,93,893,192
112360114,478,751,313
456567228,689,699,948
322994250,878,981,375
925888,592,2,782
1535072,623,11,224
62844496,484,286,454
90288960,577,480,326
15637380,319,60,817
33398200,748,475,94
50938487,589,439,197
186977430,837,445,502
140711184,636,309,716
587693808,939,767,816
82373655,185,637,699
509670876,682,871,858
52077648,413,444,284
15487980,879,20,881
35530935,583,239,255
128011275,735,255,683
22090800,82,600,449
132973750,455,875,334
5570192,584,502,19
110028820,773,220,647
66551282,142,943,497
597198,3,241,826
159784126,379,761,554
27711343,379,289,253
355241700,450,886,891
101669766,363,319,878
10213980,415,42,586
96310858,586,443,371
31465203,363,427,203
111099072,588,784,241
22201452,251,108,819
213267600,806,945,280
20858250,435,274,175
41163238,667,118,523
204639072,892,242,948
84806500,475,226,790
101523660,295,482,714
28503900,150,391,486
13734000,327,60,700
37528112,491,136,562
20372480,346,460,128
259043076,398,709,918
35202972,437,294,274
23854382,202,439,269
251833491,403,763,819
28022400,100,556,504
161611623,653,321,771
33749910,193,402,435
209096235,261,855,937
55076112,467,168,702
19381648,143,788,172
25997400,450,572,101
108983915,647,295,571
169092880,635,712,374
111270384,304,607,603
10281128,152,473,143
194218288,886,424,517
270351872,964,448,626
1555752,213,22,332
3000800,682,16,275
213079132,574,593,626
484652,911,133,4
423360718,926,467,979
71808000,352,600,340
45431,181,251,1
199024848,646,396,778
21549500,175,940,131
31831488,39,872,936
809913042,894,933,971
79277880,654,551,220
48314880,360,288,466
573032196,639,916,979
191765400,725,412,642
515858625,999,765,675
95443920,309,440,702
4123440,230,249,72
227206441,581,487,803
243718800,300,884,919
399738304,538,868,856
10639146,411,43,602
33907335,341,105,947
325185000,700,489,950
466828194,782,651,917
374738130,585,886,723
447995730,714,637,985
35548955,607,689,85
497505640,920,631,857
152603220,924,335,493
245967267,273,911,989
11661584,383,346,88
64784656,424,317,482
277974048,939,352,841
176261085,903,507,385
125585640,664,467,405
63603225,525,641,189
97856460,570,426,403
136572102,362,471,801
270825240,710,717,532
270865760,823,374,880
278765242,854,449,727
174462840,765,983,232
2722280,253,20,538
43545516,84,721,719
16570368,348,128,372
77370930,90,871,987
80888880,404,710,282
384171645,715,897,599
11944768,361,94,352
29115520,776,670,56
398097192,724,811,678
24027750,543,118,375
134942600,559,680,355
63558821,137,529,877
328819920,572,715,804
5758389,267,91,237
15370110,21,930,787
153157856,181,853,992
26968375,595,49,925
193394448,708,442,618
210608760,985,472,453
240462000,610,600,657
82828293,139,647,921
139090446,891,178,877
57224808,531,152,709
137742228,493,796,351
33822360,949,165,216
69181858,151,554,827
110575260,614,290,621
36416660,557,934,70
146624632,184,869,917
569721240,902,660,957
84665820,271,492,635
27898272,96,471,617
15048684,441,76,449
199925154,921,897,242
377358861,541,919,759
712028,4,283,629
236665000,331,715,1000
368476570,539,998,685
9688154,826,37,317
204684216,773,708,374
27808506,334,841,99
16621200,243,190,360
31399872,42,976,766
109310712,139,906,868
625942080,837,960,779
12063480,114,143,740
53238640,568,103,910
219098763,379,793,729
20615728,151,161,848
277253340,442,870,721
4499220,51,802,110
160020080,610,968,271
368121360,870,466,908
55463940,378,365,402
226895120,907,472,530
171586134,918,457,409
194798007,859,999,227
42073200,930,174,260
467042328,654,747,956
107494640,517,452,460
27370616,262,196,533
30797480,827,760,49
6439328,238,712,38
5397084,66,126,649
99660756,249,716,559
20266312,68,713,418
437218845,919,591,805
440248487,971,931,487
29213184,133,572,384
168251148,586,702,409
231828060,366,653,970
4305015,223,429,45
335125956,521,726,886
44044272,398,348,318
23705136,182,648,201
508670778,534,973,979
121184330,470,493,523
157722500,650,422,575
534322085,989,605,893
115169880,167,840,821
296030592,864,599,572
35658084,447,154,518
253295262,594,921,463
21362540,415,757,68
50420832,924,359,152
152116044,314,526,921
131350068,662,219,906
15507778,97,473,338
1674000,930,120,15
57810350,325,589,302
19104670,26,895,821
1914960,120,158,101
217379214,699,886,351
27279288,782,306,114
18161820,505,36,999
15537150,306,677,75
9409620,269,53,660
43308480,240,788,229
30067578,621,86,563
25190352,72,627,558
125079280,305,722,568
444902304,866,924,556
416665920,605,816,844
209238393,749,507,551
36302097,949,41,933
29869520,457,152,430
8347136,128,238,274
19066842,197,566,171
7744000,128,100,605
314587564,998,397,794
157666656,606,368,707
4908036,17,588,491
55890552,73,876,874
38146368,104,493,744
40334742,329,973,126
103151004,887,132,881
36919376,106,394,884
17121912,94,353,516
9327150,147,470,135
22040928,348,168,377
33832960,320,236,448
181116000,288,645,975
187432336,772,299,812
37947000,556,91,750
60203715,169,381,935
167117160,380,777,566
36118950,839,150,287
82256064,748,116,948
97460880,228,638,670
355754490,910,453,863
9619584,41,832,282
342010624,883,544,712
36575280,590,369,168
264695040,666,540,736
111742848,596,744,252
87778900,401,220,995
246761664,816,346,874
499396800,835,623,960
308636172,689,541,828
403381440,880,963,476
70014126,663,794,133
2773890,111,238,105
64273440,987,88,740
466767560,973,670,716
326788020,885,789,468
13077540,180,679,107
206297784,924,586,381
98505396,996,891,111
6410808,12,993,538
183616708,907,946,214
92680328,442,589,356
68407680,528,820,158
361849891,673,701,767
601775860,833,881,820
599679520,908,869,760
36824312,329,136,823
156670272,939,352,474
52901632,742,557,128
19609800,116,735,230
11646516,28,683,609
289406250,525,630,875
238546539,671,627,567
178523728,586,674,452
168930300,284,721,825
84042000,575,336,435
3562650,754,63,75
23226580,314,130,569
141360000,304,500,930
93115556,382,397,614
667907214,843,983,806
3471580,137,28,905
8587040,697,140,88
3183152,586,388,14
467324226,599,974,801
35208090,545,194,333
15477500,302,250,205
142324224,868,366,448
58740288,284,556,372
35310184,164,338,637
3472560,105,318,104
45002958,767,462,127
10565625,175,105,575
13878176,457,292,104
4945536,212,32,729
2569476,273,52,181
104890825,725,403,359
93791250,875,135,794
61123068,381,461,348
124034240,880,211,668
159746655,705,653,347
58597000,770,761,100
78802416,618,168,759
86915220,148,705,833
208072800,270,912,845
20042715,469,407,105
102390667,349,397,739
584084160,990,716,824
19209960,210,726,126
35193450,606,115,505
111582016,364,952,322
144297560,284,745,682
95703820,124,815,947
98112784,821,154,776
328413680,421,784,995
14222208,74,264,728
32334108,281,669,172
272293120,466,830,704
699319800,886,900,877
397999452,713,771,724
127309600,506,340,740
24150984,454,62,858
12902144,499,202,128
192303104,512,706,532
769950,870,3,295
9194408,488,83,227
15884000,110,950,152
111697154,851,899,146
86574000,307,282,1000
273468390,390,989,709
158301000,500,858,369
280102212,468,729,821
10206000,729,20,700
225350300,653,812,425
233878030,545,874,491
76747308,209,862,426
111837204,597,932,201
232858977,919,949,267
18129885,307,381,155
160176,71,24,94
42391584,244,762,228
88984980,590,399,378
340362720,963,376,940
286136130,501,574,995
36955568,173,632,338
95864270,134,719,995
235576250,545,650,665
14869299,421,61,579
21125880,620,54,631
141582350,406,725,481
304091648,476,713,896
287629888,917,832,377
88717440,164,805,672
40910848,908,128,352
1256661,549,7,327
284427000,500,663,858
41539806,473,102,861
78065496,782,354,282
14949,3,33,151
313817280,670,672,697
193479104,556,728,478
38656440,405,776,123
453894480,780,683,852
123396894,214,811,711
12270048,961,112,114
1786428,278,42,153
32413221,893,981,37
97265784,511,618,308
20833020,614,435,78
70383600,200,686,513
17314992,807,36,596
16688640,53,492,640
113745280,535,352,604
74919000,339,260,850
98474880,510,862,224
610027238,982,899,691
94893630,138,745,923
75669386,179,923,458
139138560,704,488,405
145356120,884,261,630
3800160,377,480,21
135363774,637,642,331
129548544,888,194,752
412947288,796,739,702
59357775,355,471,355
1691865,131,41,315
444572612,713,766,814
8537760,49,264,660
2965710,209,165,86
20396464,578,802,44
30673440,179,336,510
34161582,178,777,247
280746390,934,435,691
386807904,939,672,613
54027,69,27,29
25220330,82,449,685
55794144,294,464,409
23182620,535,69,628
193660720,961,880,229
648837216,724,972,922
75013673,739,853,119
29965950,49,675,906
338601912,376,941,957
19919172,493,182,222
102333808,892,116,989
10743920,421,116,220
123628440,430,582,494
1936880,341,8,710
469390878,863,902,603
122408507,551,299,743
108976000,392,556,500
88629120,720,276,446
100941984,429,387,608
52148844,239,396,551
665532,9,133,556
73983000,210,650,542
199018930,535,457,814
120625464,788,186,823
117306000,200,630,931
15067200,146,800,129
199497816,549,441,824
21983000,475,178,260
17956386,238,101,747
307070400,700,456,962
13186320,668,329,60
129396311,671,373,517
153634485,939,761,215
29754816,208,786,182
1196340,157,762,10
18930520,170,164,679
10288360,230,844,53
106070200,356,590,505
66748083,113,723,817
25609416,284,339,266
1424192,56,187,136
116302528,928,223,562
449218640,949,970,488
27099006,671,127,318
13574690,226,293,205
684475,5,209,655
83344268,563,311,476
11670625,125,263,355
10210347,27,623,607
357013800,715,684,730
99600,50,996,2
3260224,242,842,16
32466720,104,860,363
52759188,148,489,729
198139068,433,669,684
33889896,106,963,332
52178940,73,855,836
57045810,606,335,281
121588110,349,630,553
128401174,677,466,407
31404240,930,504,67
313317248,562,992,562
542774102,713,874,871
